[2026-03-07T21:14:14.654+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: insurance_claims_pipeline.stream_processing manual__2026-03-02T01:46:19+00:00 [queued]>
[2026-03-07T21:14:14.677+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: insurance_claims_pipeline.stream_processing manual__2026-03-02T01:46:19+00:00 [queued]>
[2026-03-07T21:14:14.678+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 3
[2026-03-07T21:14:14.717+0000] {taskinstance.py:2191} INFO - Executing <Task(PythonOperator): stream_processing> on 2026-03-02 01:46:19+00:00
[2026-03-07T21:14:14.725+0000] {standard_task_runner.py:60} INFO - Started process 426 to run task
[2026-03-07T21:14:14.732+0000] {standard_task_runner.py:87} INFO - Running: ['airflow', 'tasks', 'run', 'insurance_claims_pipeline', 'stream_processing', 'manual__2026-03-02T01:46:19+00:00', '--job-id', '5', '--raw', '--subdir', 'DAGS_FOLDER/insurance_claims_pipeline.py', '--cfg-path', '/tmp/tmp8n5ydu23']
[2026-03-07T21:14:14.736+0000] {standard_task_runner.py:88} INFO - Job 5: Subtask stream_processing
[2026-03-07T21:14:14.870+0000] {task_command.py:423} INFO - Running <TaskInstance: insurance_claims_pipeline.stream_processing manual__2026-03-02T01:46:19+00:00 [running]> on host 9dc18f9f578f
[2026-03-07T21:14:15.085+0000] {taskinstance.py:2480} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='insurance-pipeline-team' AIRFLOW_CTX_DAG_ID='insurance_claims_pipeline' AIRFLOW_CTX_TASK_ID='stream_processing' AIRFLOW_CTX_EXECUTION_DATE='2026-03-02T01:46:19+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-03-02T01:46:19+00:00'
[2026-03-07T21:14:17.400+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:14:17 [info     ] OTLP tracing exporter initialized endpoint=http://jaeger:4317
[2026-03-07T21:14:17.411+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:14:17 [info     ] Tracing initialized            service=insurance-claims-pipeline
[2026-03-07T21:14:22.210+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:14:22 [info     ] Stream processor started       max_messages=50 topic=insurance.claims.raw
[2026-03-07T21:14:26.725+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:14:26 [debug    ] Lineage event recorded         claim_id=CLM-4E48EEDC641A latency_ms=4.174470901489258 source=src_claims_ingestion target=tx_validation
[2026-03-07T21:14:26.729+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:14:26 [info     ] Claim validated                claim_id=CLM-4E48EEDC641A errors=0 latency_ms=4.17 valid=True
[2026-03-07T21:14:26.872+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:14:26 [debug    ] Stored to S3                   key=validated/2026/03/07/CLM-4E48EEDC641A.json
[2026-03-07T21:14:26.932+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:14:26 [debug    ] Lineage event recorded         claim_id=CLM-4E48EEDC641A latency_ms=0.5130767822265625 source=tx_validation target=tx_fraud_detection
[2026-03-07T21:14:26.933+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:14:26 [info     ] Claim fraud scored             claim_id=CLM-4E48EEDC641A fraud_score=0.8022 risk_level=critical rules=['high_amount', 'weekend_filing', 'late_filing', 'excessive_amount_for_type']
[2026-03-07T21:14:26.945+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:14:26 [debug    ] Stored to S3                   key=scored/2026/03/07/CLM-4E48EEDC641A.json
[2026-03-07T21:14:26.999+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:14:26 [debug    ] Lineage event recorded         claim_id=CLM-4E48EEDC641A latency_ms=0.9138584136962891 source=tx_fraud_detection target=tx_enrichment
[2026-03-07T21:14:27.000+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:14:27 [info     ] Claim enriched                 claim_id=CLM-4E48EEDC641A fields=['policy', 'claimant_history', 'geo_risk', 'category_analysis', 'adjuster_recommendation', 'reserve_estimate'] latency_ms=0.91
