[2026-03-07T21:14:57.733+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: insurance_claims_pipeline.stream_processing manual__2026-03-07T21:14:37+00:00 [queued]>
[2026-03-07T21:14:57.762+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: insurance_claims_pipeline.stream_processing manual__2026-03-07T21:14:37+00:00 [queued]>
[2026-03-07T21:14:57.763+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 3
[2026-03-07T21:14:57.803+0000] {taskinstance.py:2191} INFO - Executing <Task(PythonOperator): stream_processing> on 2026-03-07 21:14:37+00:00
[2026-03-07T21:14:57.817+0000] {standard_task_runner.py:60} INFO - Started process 587 to run task
[2026-03-07T21:14:57.831+0000] {standard_task_runner.py:87} INFO - Running: ['airflow', 'tasks', 'run', 'insurance_claims_pipeline', 'stream_processing', 'manual__2026-03-07T21:14:37+00:00', '--job-id', '11', '--raw', '--subdir', 'DAGS_FOLDER/insurance_claims_pipeline.py', '--cfg-path', '/tmp/tmp7jipq253']
[2026-03-07T21:14:57.845+0000] {standard_task_runner.py:88} INFO - Job 11: Subtask stream_processing
[2026-03-07T21:14:58.022+0000] {task_command.py:423} INFO - Running <TaskInstance: insurance_claims_pipeline.stream_processing manual__2026-03-07T21:14:37+00:00 [running]> on host 9dc18f9f578f
[2026-03-07T21:14:58.403+0000] {taskinstance.py:2480} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='insurance-pipeline-team' AIRFLOW_CTX_DAG_ID='insurance_claims_pipeline' AIRFLOW_CTX_TASK_ID='stream_processing' AIRFLOW_CTX_EXECUTION_DATE='2026-03-07T21:14:37+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-03-07T21:14:37+00:00'
[2026-03-07T21:14:59.099+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:14:59 [info     ] OTLP tracing exporter initialized endpoint=http://jaeger:4317
[2026-03-07T21:14:59.099+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:14:59 [info     ] Tracing initialized            service=insurance-claims-pipeline
[2026-03-07T21:14:59.424+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:14:59 [info     ] Stream processor started       max_messages=50 topic=insurance.claims.raw
[2026-03-07T21:15:02.854+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:15:02 [debug    ] Lineage event recorded         claim_id=CLM-B78DD792CD93 latency_ms=0.5729198455810547 source=src_claims_ingestion target=tx_validation
[2026-03-07T21:15:02.859+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:15:02 [info     ] Claim validated                claim_id=CLM-B78DD792CD93 errors=0 latency_ms=0.57 valid=True
[2026-03-07T21:15:02.994+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:15:02 [debug    ] Stored to S3                   key=validated/2026/03/07/CLM-B78DD792CD93.json
[2026-03-07T21:15:03.179+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:15:03 [debug    ] Lineage event recorded         claim_id=CLM-B78DD792CD93 latency_ms=0.5583763122558594 source=tx_validation target=tx_fraud_detection
[2026-03-07T21:15:03.182+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:15:03 [info     ] Claim fraud scored             claim_id=CLM-B78DD792CD93 fraud_score=0.1515 risk_level=low rules=['high_amount', 'weekend_filing']
[2026-03-07T21:15:03.202+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:15:03 [debug    ] Stored to S3                   key=scored/2026/03/07/CLM-B78DD792CD93.json
[2026-03-07T21:15:03.274+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:15:03 [debug    ] Lineage event recorded         claim_id=CLM-B78DD792CD93 latency_ms=5.750179290771484 source=tx_fraud_detection target=tx_enrichment
[2026-03-07T21:15:03.275+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:15:03 [info     ] Claim enriched                 claim_id=CLM-B78DD792CD93 fields=['policy', 'claimant_history', 'geo_risk', 'category_analysis', 'adjuster_recommendation', 'reserve_estimate'] latency_ms=5.75
[2026-03-07T21:15:03.286+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:15:03 [debug    ] Stored to S3                   key=enriched/2026/03/07/CLM-B78DD792CD93.json
[2026-03-07T21:15:03.333+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:15:03 [debug    ] Lineage event recorded         claim_id=CLM-B78DD792CD93 latency_ms=736.635684967041 source=tx_enrichment target=sink_s3_datalake
[2026-03-07T21:15:03.363+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:15:03 [debug    ] Stored to PostgreSQL           claim_id=CLM-B78DD792CD93
[2026-03-07T21:15:03.430+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:15:03 [debug    ] Lineage event recorded         claim_id=CLM-B78DD792CD93 latency_ms=0 source=tx_enrichment target=sink_postgres
[2026-03-07T21:15:03.466+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:15:03 [debug    ] Lineage event recorded         claim_id=CLM-08D2DA914D3A latency_ms=0.34117698669433594 source=src_claims_ingestion target=tx_validation
[2026-03-07T21:15:03.467+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:15:03 [info     ] Claim validated                claim_id=CLM-08D2DA914D3A errors=0 latency_ms=0.34 valid=True
[2026-03-07T21:15:03.482+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:15:03 [debug    ] Stored to S3                   key=validated/2026/03/07/CLM-08D2DA914D3A.json
[2026-03-07T21:15:03.513+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:15:03 [debug    ] Lineage event recorded         claim_id=CLM-08D2DA914D3A latency_ms=0.14209747314453125 source=tx_validation target=tx_fraud_detection
[2026-03-07T21:15:03.514+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:15:03 [info     ] Claim fraud scored             claim_id=CLM-08D2DA914D3A fraud_score=0.2412 risk_level=low rules=['high_amount', 'weekend_filing']
[2026-03-07T21:15:03.526+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:15:03 [debug    ] Stored to S3                   key=scored/2026/03/07/CLM-08D2DA914D3A.json
[2026-03-07T21:15:03.556+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:15:03 [debug    ] Lineage event recorded         claim_id=CLM-08D2DA914D3A latency_ms=0.26297569274902344 source=tx_fraud_detection target=tx_enrichment
[2026-03-07T21:15:03.557+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:15:03 [info     ] Claim enriched                 claim_id=CLM-08D2DA914D3A fields=['policy', 'claimant_history', 'geo_risk', 'category_analysis', 'adjuster_recommendation', 'reserve_estimate'] latency_ms=0.26
[2026-03-07T21:15:03.567+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:15:03 [debug    ] Stored to S3                   key=enriched/2026/03/07/CLM-08D2DA914D3A.json
[2026-03-07T21:15:03.598+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:15:03 [debug    ] Lineage event recorded         claim_id=CLM-08D2DA914D3A latency_ms=135.7736587524414 source=tx_enrichment target=sink_s3_datalake
[2026-03-07T21:15:03.629+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:15:03 [debug    ] Stored to PostgreSQL           claim_id=CLM-08D2DA914D3A
[2026-03-07T21:15:03.658+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:15:03 [debug    ] Lineage event recorded         claim_id=CLM-08D2DA914D3A latency_ms=0 source=tx_enrichment target=sink_postgres
[2026-03-07T21:15:03.688+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:15:03 [debug    ] Lineage event recorded         claim_id=CLM-A075F14B1BC3 latency_ms=0.22172927856445312 source=src_claims_ingestion target=tx_validation
[2026-03-07T21:15:03.689+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:15:03 [info     ] Claim validated                claim_id=CLM-A075F14B1BC3 errors=0 latency_ms=0.22 valid=True
[2026-03-07T21:15:03.699+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:15:03 [debug    ] Stored to S3                   key=validated/2026/03/07/CLM-A075F14B1BC3.json
[2026-03-07T21:15:03.726+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:15:03 [debug    ] Lineage event recorded         claim_id=CLM-A075F14B1BC3 latency_ms=0.20933151245117188 source=tx_validation target=tx_fraud_detection
[2026-03-07T21:15:03.727+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:15:03 [info     ] Claim fraud scored             claim_id=CLM-A075F14B1BC3 fraud_score=0.7053 risk_level=high rules=['high_amount', 'weekend_filing', 'late_filing', 'excessive_amount_for_type']
[2026-03-07T21:15:03.739+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:15:03 [debug    ] Stored to S3                   key=scored/2026/03/07/CLM-A075F14B1BC3.json
[2026-03-07T21:15:03.777+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:15:03 [debug    ] Lineage event recorded         claim_id=CLM-A075F14B1BC3 latency_ms=0.2799034118652344 source=tx_fraud_detection target=tx_enrichment
[2026-03-07T21:15:03.778+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:15:03 [info     ] Claim enriched                 claim_id=CLM-A075F14B1BC3 fields=['policy', 'claimant_history', 'geo_risk', 'category_analysis', 'adjuster_recommendation', 'reserve_estimate'] latency_ms=0.28
[2026-03-07T21:15:03.786+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:15:03 [debug    ] Stored to S3                   key=enriched/2026/03/07/CLM-A075F14B1BC3.json
[2026-03-07T21:15:03.811+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:15:03 [debug    ] Lineage event recorded         claim_id=CLM-A075F14B1BC3 latency_ms=127.61402130126953 source=tx_enrichment target=sink_s3_datalake
[2026-03-07T21:15:03.835+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:15:03 [debug    ] Stored to PostgreSQL           claim_id=CLM-A075F14B1BC3
[2026-03-07T21:15:03.859+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:15:03 [debug    ] Lineage event recorded         claim_id=CLM-A075F14B1BC3 latency_ms=0 source=tx_enrichment target=sink_postgres
[2026-03-07T21:15:03.887+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:15:03 [debug    ] Lineage event recorded         claim_id=CLM-47A1A10B276D latency_ms=0.0896453857421875 source=src_claims_ingestion target=tx_validation
[2026-03-07T21:15:03.888+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:15:03 [info     ] Claim validated                claim_id=CLM-47A1A10B276D errors=0 latency_ms=0.09 valid=True
[2026-03-07T21:15:03.897+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:15:03 [debug    ] Stored to S3                   key=validated/2026/03/07/CLM-47A1A10B276D.json
[2026-03-07T21:15:03.927+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:15:03 [debug    ] Lineage event recorded         claim_id=CLM-47A1A10B276D latency_ms=0.17023086547851562 source=tx_validation target=tx_fraud_detection
[2026-03-07T21:15:03.928+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:15:03 [info     ] Claim fraud scored             claim_id=CLM-47A1A10B276D fraud_score=0.0925 risk_level=low rules=['weekend_filing', 'late_filing']
